		p	p_id	p_name	p_charge	p_formula	p_kegg
atp	cpd_atp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
nad	cpd_nad	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
adp	cpd_adp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
h	cpd_h	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
nadp	cpd_nadp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
co2	cpd_co2	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
h2o	cpd_h2o	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
hco3	cpd_hco3	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
nadh	cpd_nadh	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gtp	cpd_gtp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ahdt	cpd_ahdt	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
for	cpd_for	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gsn	cpd_gsn	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gmp	cpd_gmp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gp4g	cpd_gp4g	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gdp	cpd_gdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gmhep7p	cpd_gmh7p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gmhep17bp	cpd_gmh17bp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gmhep1p	cpd_gmh1p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
adphep-DD	cpd_adphep-DD	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ppi	cpd_ppi	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gly	cpd_gly	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
amp	cpd_amp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
glytrna	cpd_glytrna	0.46641879831321703	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
accoa	cpd_accoa	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
2aobut	cpd_2aobut	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
coa	cpd_coa	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
