## Mon Jan 17 15:31:48 2022
## emapper-2.1.6
## /opt/software/eggnog-mapper/2.1.6-foss-2020b/bin/emapper.py -i oyster_mollicutes_mag.faa --output oyster_mollicutes_mag.faa_annotated.tsv --data_dir /data2/shared/eggnog/ -m diamond --cpu 20
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
k141_29341_2	702450.CUW_0481	1.37e-34	139.0	COG4603@1|root,COG4603@2|Bacteria,1TP1F@1239|Firmicutes,3VPKK@526524|Erysipelotrichia	526524|Erysipelotrichia	P	Branched-chain amino acid ABC transporter, permease protein	-	-	-	ko:K02057	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	BPD_transp_2
k141_29341_3	610130.Closa_0910	5.7e-39	147.0	COG1079@1|root,COG1079@2|Bacteria,1TP8Y@1239|Firmicutes,2486N@186801|Clostridia,21ZER@1506553|Lachnoclostridium	186801|Clostridia	U	Belongs to the binding-protein-dependent transport system permease family	-	-	-	ko:K02057	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	BPD_transp_2
k141_29341_4	267748.MMOB0920	1.02e-159	463.0	COG0172@1|root,COG0172@2|Bacteria,3WSVI@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)	serS	-	6.1.1.11	ko:K01875	ko00970,map00970	M00359,M00360	R03662,R08218	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Seryl_tRNA_N,tRNA-synt_2b
k141_29341_5	1276229.SSYRP_v1c03580	8.12e-77	248.0	COG1131@1|root,COG1131@2|Bacteria,3WT59@544448|Tenericutes	544448|Tenericutes	V	abc transporter atp-binding protein	bcrA	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
k141_29341_6	1276227.SCHRY_v1c03370	1.5e-07	62.8	COG1277@1|root,COG1277@2|Bacteria	2|Bacteria	-	-	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2
k141_29341_7	1037410.MCSF7_00075	3.1e-124	374.0	COG0486@1|root,COG0486@2|Bacteria,3WSVW@544448|Tenericutes	544448|Tenericutes	J	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34	trmE	-	-	ko:K03650	-	-	R08701	RC00053,RC00209,RC00870	ko00000,ko01000,ko03016	-	-	-	MMR_HSR1,MnmE_helical,TrmE_N
k141_29341_8	273068.TTE0111	4.51e-61	200.0	COG0084@1|root,COG0084@2|Bacteria,1TNY1@1239|Firmicutes,248HE@186801|Clostridia,42FZQ@68295|Thermoanaerobacterales	186801|Clostridia	L	TIGRFAM hydrolase, TatD family	yabD	-	-	ko:K03424	-	-	-	-	ko00000,ko01000	-	-	-	TatD_DNase
k141_29341_9	1188233.MAU_6310	5.1e-66	213.0	COG0030@1|root,COG0030@2|Bacteria,3WTCB@544448|Tenericutes	544448|Tenericutes	J	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits	ksgA	-	2.1.1.182	ko:K02528	-	-	R10716	RC00003,RC03257	ko00000,ko01000,ko03009	-	-	-	RrnaAD
k141_29341_10	1196324.A374_16728	4.17e-21	97.8	COG1207@1|root,COG1207@2|Bacteria,1TP88@1239|Firmicutes,4H9V5@91061|Bacilli	91061|Bacilli	M	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain	glmU	GO:0000270,GO:0000271,GO:0003674,GO:0003824,GO:0003977,GO:0005975,GO:0005976,GO:0006022,GO:0006023,GO:0006024,GO:0006629,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009252,GO:0009273,GO:0009987,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0030203,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0070569,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903509	2.3.1.157,2.7.7.23	ko:K04042	ko00520,ko01100,ko01130,map00520,map01100,map01130	M00362	R00416,R05332	RC00002,RC00004,RC00166	ko00000,ko00001,ko00002,ko01000	-	-	-	Hexapep,NTP_transf_3,NTP_transferase
k141_29341_11	1246955.MCYN_0105	2.42e-120	355.0	COG0462@1|root,COG0462@2|Bacteria,3WSZG@544448|Tenericutes	544448|Tenericutes	F	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)	prs	-	2.7.6.1	ko:K00948	ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230	M00005	R01049	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	Pribosyl_synth,Pribosyltran,Pribosyltran_N
